customer_id,age,gender,region,plan_type,months_active,monthly_fee,medical_consultations,app_clashes,primary_device,days_since_last_sync,promocode_applied,target_churn,expected_health_ltv
8543b1c6-10ca-4e1f,59.0,Female,North,Basic,13.0,64.11,8.0,10.0,Mobile,3.0,1.0,1,1863.7
500d0344-5ea6-46d1,48.0,Female,South,Basic,20.0,,8.0,0.0,Desktop,6.0,0.0,0,2048.63
51705791-32da-4bf6,31.0,Male,South,Basic,3.0,86.64,7.0,2.0,Mobile,7.0,0.0,1,1021.55
39dbb112-a0c4-4c53,33.0,Male,West,Standard,24.0,74.17,12.0,2.0,Mobile,12.0,0.0,0,3174.79
65425920-fa6e-4576,,Female,West,Premium,9.0,26.89,5.0,0.0,Desktop,7.0,0.0,1,1398.05
ac4d2fd9-3778-4be3,43.0,Male,East,Standard,36.0,15.37,8.0,6.0,Mobile,7.0,1.0,1,1371.79
9025d5aa-17ec-4823,36.0,Female,East,Basic,34.0,72.25,3.0,4.0,Tablet,22.0,1.0,1,2803.33
09fa43f9-4e61-4be0,47.0,MALE,West,Basic,71.0,,11.0,0.0,Desktop,2.0,1.0,0,4023.69
5ec3cb26-0d34-4863,56.0,Female,East,Basic,14.0,84.21,6.0,0.0,Mobile,5.0,0.0,0,2054.49
6a1a74ce-4e74-4be6,31.0,Male,West,Basic,25.0,16.7,11.0,0.0,Mobile,2.0,1.0,1,1102.73
45ecafc6-d6ec-45a6,29.0,Female,West,Standard,40.0,47.45,11.0,0.0,Mobile,5.0,0.0,0,3688.64
b8ed8152-c802-485d,41.0,Male,North,Basic,21.0,31.14,7.0,2.0,Mobile,5.0,0.0,1,1789.89
cc934abe-92b8-4083,52.0,Female,West,Standard,33.0,63.32,6.0,1.0,Mobile,2.0,0.0,0,3168.92
fff75f5c-1a8b-41f5,56.0,Female,North,Basic,9.0,87.68,6.0,2.0,Tablet,11.0,1.0,1,1817.59
aea302b1-69f3-4504,19.0,Male,South,Standard,51.0,27.41,12.0,2.0,Desktop,0.0,0.0,1,2765.96
b475985d-ba14-4972,41.0,Female,East,STANDARD,28.0,93.82,10.0,2.0,Mobile,8.0,1.0,1,4307.04
60ebc7d5-1d35-4a00,34.0,Female,West,Basic,4.0,45.33,6.0,4.0,Mobile,14.0,1.0,1,752.21
e7d272f7-43eb-4c5b,42.0,Female,North,Basic,35.0,62.2,5.0,0.0,Tablet,9.0,1.0,0,3100.93
14eb8451-f7ed-4af0,51.0,Female,South,Basic,3.0,59.14,5.0,0.0,Desktop,1.0,1.0,1,702.05
13ee1433-6514-4207,50.0,Female,East,Basic,17.0,28.98,6.0,0.0,Mobile,7.0,0.0,0,1050.01
a05ecd6f-8e2a-45d4,54.0,Female,North,Basic,67.0,56.3,16.0,0.0,Mobile,5.0,0.0,0,4948.56
8e422dcb-ec89-424a,39.0,Male,West,Standard,38.0,52.67,7.0,1.0,Mobile,1.0,0.0,0,3654.04
